object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,wordID,id,speakerID,listenerID
stripedCircle1,redSquare2,redSquare1,spottedCircle2,spottedCircle2,spottedCircle2,1,word10,game109,2,1
redSquare1,redSquare2,spottedCircle2,blueSquare2,blueSquare2,spottedCircle2,2,word10,game109,1,2
redSquare2,redSquare1,stripedCircle2,blueSquare1,blueSquare1,blueSquare1,3,word12,game109,2,1
blueSquare1,stripedCircle1,redSquare1,spottedCircle1,spottedCircle1,spottedCircle1,4,word10,game109,1,2
stripedCircle1,blueSquare2,spottedCircle2,redSquare2,redSquare2,redSquare2,5,word13,game109,2,1
spottedCircle2,redSquare1,redSquare2,stripedCircle2,stripedCircle2,stripedCircle2,6,word8,game109,1,2
spottedCircle2,blueSquare1,stripedCircle2,redSquare1,redSquare1,redSquare1,7,word9,game109,2,1
blueSquare2,spottedCircle1,redSquare2,stripedCircle1,stripedCircle1,redSquare2,8,word8,game109,1,2
blueSquare2,stripedCircle1,spottedCircle2,redSquare1,redSquare1,blueSquare2,9,word9,game109,2,1
spottedCircle2,blueSquare2,redSquare2,stripedCircle2,stripedCircle2,stripedCircle2,10,word8,game109,1,2
blueSquare2,stripedCircle1,redSquare2,spottedCircle1,spottedCircle1,spottedCircle1,11,word10,game109,2,1
stripedCircle2,blueSquare1,spottedCircle2,redSquare2,redSquare2,blueSquare1,12,word12,game109,1,2
redSquare1,stripedCircle1,redSquare2,blueSquare2,blueSquare2,redSquare2,13,word13,game109,2,1
redSquare2,spottedCircle2,spottedCircle1,stripedCircle1,stripedCircle1,stripedCircle1,14,word8,game109,1,2
stripedCircle1,blueSquare2,redSquare1,spottedCircle2,spottedCircle2,redSquare1,15,word14,game109,2,1
spottedCircle2,redSquare1,stripedCircle1,blueSquare1,blueSquare1,blueSquare1,16,word13,game109,1,2
stripedCircle1,redSquare1,blueSquare1,spottedCircle2,spottedCircle2,spottedCircle2,17,word14,game109,2,1
stripedCircle2,spottedCircle1,blueSquare2,redSquare1,redSquare1,blueSquare2,18,word12,game109,1,2
redSquare1,blueSquare1,spottedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,19,word8,game109,2,1
stripedCircle2,stripedCircle1,blueSquare1,redSquare2,redSquare2,blueSquare1,20,word12,game109,1,2
redSquare1,blueSquare2,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle1,21,word10,game109,2,1
spottedCircle2,spottedCircle1,redSquare2,stripedCircle2,stripedCircle2,stripedCircle2,22,word8,game109,1,2
spottedCircle2,spottedCircle1,redSquare1,blueSquare2,blueSquare2,redSquare1,23,word13,game109,2,1
redSquare2,spottedCircle1,spottedCircle2,blueSquare1,blueSquare1,blueSquare1,24,word5,game109,1,2
stripedCircle1,blueSquare2,redSquare1,spottedCircle2,spottedCircle2,spottedCircle2,25,word14,game109,2,1
spottedCircle1,redSquare2,stripedCircle1,blueSquare1,blueSquare1,blueSquare1,26,word5,game109,1,2
spottedCircle1,stripedCircle2,redSquare1,blueSquare2,blueSquare2,redSquare1,27,word13,game109,2,1
stripedCircle1,spottedCircle2,blueSquare1,redSquare1,redSquare1,redSquare1,28,word13,game109,1,2
stripedCircle1,stripedCircle2,blueSquare1,spottedCircle1,spottedCircle1,spottedCircle1,29,word10,game109,2,1
spottedCircle2,spottedCircle1,redSquare2,stripedCircle1,stripedCircle1,stripedCircle1,30,word8,game109,1,2
spottedCircle2,blueSquare2,redSquare2,stripedCircle2,stripedCircle2,redSquare2,31,word6,game109,2,1
blueSquare2,blueSquare1,spottedCircle2,redSquare2,redSquare2,blueSquare2,32,word13,game109,1,2
spottedCircle1,redSquare1,spottedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,33,word8,game109,2,1
spottedCircle2,blueSquare2,spottedCircle1,redSquare1,redSquare1,blueSquare2,34,word13,game109,1,2
spottedCircle1,blueSquare2,redSquare1,stripedCircle2,stripedCircle2,stripedCircle2,35,word6,game109,2,1
redSquare2,stripedCircle2,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle1,36,word10,game109,1,2
stripedCircle1,redSquare1,stripedCircle2,blueSquare2,blueSquare2,redSquare1,37,word12,game109,2,1
redSquare1,redSquare2,stripedCircle2,spottedCircle2,spottedCircle2,spottedCircle2,38,word14,game109,1,2
spottedCircle2,stripedCircle2,blueSquare2,redSquare2,redSquare2,redSquare2,39,word12,game109,2,1
