object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,wordID,id,speakerID,listenerID
blueSquare2,spottedCircle2,redSquare2,stripedCircle1,stripedCircle1,blueSquare2,1,word1,game111,2,1
spottedCircle1,redSquare2,blueSquare1,stripedCircle2,stripedCircle2,redSquare2,2,word7,game111,1,2
spottedCircle1,redSquare1,redSquare2,blueSquare1,blueSquare1,redSquare1,3,word6,game111,2,1
blueSquare2,blueSquare1,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle1,4,word13,game111,1,2
blueSquare1,stripedCircle1,blueSquare2,redSquare2,redSquare2,redSquare2,5,word7,game111,2,1
blueSquare1,spottedCircle1,blueSquare2,redSquare1,redSquare1,redSquare1,6,word14,game111,1,2
spottedCircle1,redSquare1,redSquare2,blueSquare2,blueSquare2,redSquare2,7,word8,game111,2,1
stripedCircle1,blueSquare2,redSquare1,spottedCircle2,spottedCircle2,spottedCircle2,8,word13,game111,1,2
redSquare2,redSquare1,spottedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,9,word3,game111,2,1
redSquare1,stripedCircle1,spottedCircle1,blueSquare2,blueSquare2,blueSquare2,10,word16,game111,1,2
stripedCircle1,redSquare2,blueSquare1,spottedCircle1,spottedCircle1,spottedCircle1,11,word13,game111,2,1
stripedCircle1,redSquare2,blueSquare1,spottedCircle2,spottedCircle2,spottedCircle2,12,word13,game111,1,2
blueSquare1,spottedCircle2,spottedCircle1,stripedCircle2,stripedCircle2,blueSquare1,13,word3,game111,2,1
stripedCircle2,redSquare1,spottedCircle2,blueSquare1,blueSquare1,redSquare1,14,word16,game111,1,2
stripedCircle1,stripedCircle2,blueSquare1,redSquare2,redSquare2,blueSquare1,15,word3,game111,2,1
blueSquare2,stripedCircle1,spottedCircle1,redSquare1,redSquare1,blueSquare2,16,word7,game111,1,2
stripedCircle2,redSquare2,blueSquare1,spottedCircle1,spottedCircle1,spottedCircle1,17,word13,game111,2,1
blueSquare1,stripedCircle1,redSquare2,spottedCircle2,spottedCircle2,spottedCircle2,18,word13,game111,1,2
redSquare2,spottedCircle2,redSquare1,stripedCircle1,stripedCircle1,redSquare1,19,word8,game111,2,1
spottedCircle1,spottedCircle2,blueSquare2,redSquare1,redSquare1,blueSquare2,20,word8,game111,1,2
stripedCircle1,spottedCircle2,redSquare1,blueSquare1,blueSquare1,blueSquare1,21,word3,game111,2,1
spottedCircle1,redSquare2,spottedCircle2,stripedCircle2,stripedCircle2,spottedCircle2,22,word16,game111,1,2
stripedCircle2,redSquare1,stripedCircle1,blueSquare2,blueSquare2,redSquare1,23,word3,game111,2,1
stripedCircle2,spottedCircle1,blueSquare1,redSquare2,redSquare2,redSquare2,24,word7,game111,1,2
blueSquare2,redSquare2,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,25,word13,game111,2,1
stripedCircle2,stripedCircle1,redSquare1,blueSquare2,blueSquare2,blueSquare2,26,word3,game111,1,2
spottedCircle1,redSquare2,blueSquare1,stripedCircle2,stripedCircle2,stripedCircle2,27,word15,game111,2,1
redSquare1,stripedCircle1,spottedCircle2,blueSquare1,blueSquare1,blueSquare1,28,word3,game111,1,2
spottedCircle1,blueSquare1,redSquare2,stripedCircle1,stripedCircle1,stripedCircle1,29,word15,game111,2,1
stripedCircle2,blueSquare2,redSquare1,spottedCircle1,spottedCircle1,spottedCircle1,30,word13,game111,1,2
blueSquare1,spottedCircle2,stripedCircle2,redSquare2,redSquare2,redSquare2,31,word7,game111,2,1
spottedCircle1,stripedCircle2,blueSquare1,redSquare1,redSquare1,stripedCircle2,32,word10,game111,1,2
blueSquare1,stripedCircle1,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,33,word13,game111,2,1
redSquare1,redSquare2,stripedCircle2,spottedCircle2,spottedCircle2,spottedCircle2,34,word13,game111,1,2
blueSquare2,spottedCircle2,redSquare2,stripedCircle2,stripedCircle2,stripedCircle2,35,word15,game111,2,1
blueSquare1,spottedCircle1,stripedCircle2,redSquare1,redSquare1,redSquare1,36,word7,game111,1,2
blueSquare2,blueSquare1,spottedCircle2,redSquare2,redSquare2,redSquare2,37,word7,game111,2,1
spottedCircle2,blueSquare1,redSquare1,stripedCircle1,stripedCircle1,redSquare1,38,word16,game111,1,2
spottedCircle1,redSquare1,spottedCircle2,blueSquare2,blueSquare2,blueSquare2,39,word3,game111,2,1
spottedCircle1,redSquare1,stripedCircle2,blueSquare1,blueSquare1,blueSquare1,40,word3,game111,1,2
redSquare2,blueSquare2,spottedCircle1,stripedCircle1,stripedCircle1,stripedCircle1,41,word16,game111,2,1
blueSquare1,redSquare1,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle2,42,word15,game111,1,2
stripedCircle2,stripedCircle1,blueSquare1,spottedCircle1,spottedCircle1,spottedCircle1,43,word13,game111,2,1
redSquare1,redSquare2,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,44,word13,game111,1,2
stripedCircle2,stripedCircle1,redSquare1,blueSquare2,blueSquare2,blueSquare2,45,word3,game111,2,1
spottedCircle2,stripedCircle2,redSquare2,blueSquare1,blueSquare1,blueSquare1,46,word3,game111,1,2
blueSquare1,stripedCircle1,stripedCircle2,redSquare2,redSquare2,redSquare2,47,word7,game111,2,1
blueSquare2,stripedCircle2,blueSquare1,redSquare1,redSquare1,redSquare1,48,word7,game111,1,2
blueSquare1,spottedCircle1,blueSquare2,redSquare2,redSquare2,redSquare2,49,word7,game111,2,1
redSquare1,blueSquare1,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,50,word13,game111,1,2
redSquare2,stripedCircle1,stripedCircle2,blueSquare1,blueSquare1,blueSquare1,51,word3,game111,2,1
blueSquare1,stripedCircle2,stripedCircle1,redSquare1,redSquare1,redSquare1,52,word7,game111,1,2
redSquare2,spottedCircle1,spottedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,53,word15,game111,2,1
blueSquare2,redSquare2,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,54,word13,game111,1,2
