object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,wordID,id,speakerID,listenerID
blueSquare2,spottedCircle1,redSquare2,stripedCircle1,stripedCircle1,blueSquare2,1,word8,game99,2,1
redSquare1,spottedCircle1,blueSquare2,stripedCircle2,stripedCircle2,blueSquare2,2,word8,game99,1,2
blueSquare1,stripedCircle1,stripedCircle2,spottedCircle1,spottedCircle1,stripedCircle2,3,word8,game99,2,1
stripedCircle2,redSquare2,stripedCircle1,blueSquare1,blueSquare1,blueSquare1,4,word12,game99,1,2
blueSquare2,redSquare1,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,5,word15,game99,2,1
spottedCircle2,redSquare1,spottedCircle1,blueSquare2,blueSquare2,spottedCircle1,6,word16,game99,1,2
spottedCircle1,blueSquare1,stripedCircle2,redSquare1,redSquare1,blueSquare1,7,word12,game99,2,1
stripedCircle1,stripedCircle2,blueSquare2,redSquare2,redSquare2,stripedCircle1,8,word14,game99,1,2
stripedCircle1,spottedCircle1,blueSquare1,redSquare1,redSquare1,redSquare1,9,word14,game99,2,1
stripedCircle2,blueSquare1,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle1,10,word15,game99,1,2
redSquare1,stripedCircle1,redSquare2,blueSquare1,blueSquare1,stripedCircle1,11,word6,game99,2,1
blueSquare2,spottedCircle1,redSquare2,stripedCircle2,stripedCircle2,redSquare2,12,word7,game99,1,2
blueSquare1,blueSquare2,stripedCircle2,spottedCircle2,spottedCircle2,spottedCircle2,13,word15,game99,2,1
blueSquare2,spottedCircle1,redSquare2,stripedCircle1,stripedCircle1,stripedCircle1,14,word7,game99,1,2
blueSquare1,blueSquare2,stripedCircle2,redSquare2,redSquare2,redSquare2,15,word6,game99,2,1
spottedCircle1,stripedCircle1,redSquare2,blueSquare2,blueSquare2,blueSquare2,16,word16,game99,1,2
spottedCircle1,redSquare1,stripedCircle2,blueSquare1,blueSquare1,blueSquare1,17,word16,game99,2,1
spottedCircle1,spottedCircle2,redSquare1,blueSquare2,blueSquare2,blueSquare2,18,word16,game99,1,2
spottedCircle2,spottedCircle1,blueSquare2,redSquare2,redSquare2,redSquare2,19,word6,game99,2,1
spottedCircle2,redSquare2,spottedCircle1,stripedCircle1,stripedCircle1,stripedCircle1,20,word7,game99,1,2
blueSquare1,stripedCircle2,redSquare1,spottedCircle2,spottedCircle2,spottedCircle2,21,word15,game99,2,1
blueSquare1,redSquare1,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,22,word15,game99,1,2
redSquare2,spottedCircle2,blueSquare1,stripedCircle2,stripedCircle2,stripedCircle2,23,word7,game99,2,1
stripedCircle1,spottedCircle2,blueSquare2,redSquare1,redSquare1,redSquare1,24,word6,game99,1,2
blueSquare2,stripedCircle1,stripedCircle2,redSquare2,redSquare2,redSquare2,25,word6,game99,2,1
blueSquare1,stripedCircle1,blueSquare2,spottedCircle1,spottedCircle1,spottedCircle1,26,word15,game99,1,2
spottedCircle1,blueSquare1,blueSquare2,stripedCircle1,stripedCircle1,stripedCircle1,27,word7,game99,2,1
redSquare2,stripedCircle2,spottedCircle1,blueSquare2,blueSquare2,blueSquare2,28,word16,game99,1,2
redSquare2,redSquare1,stripedCircle1,blueSquare1,blueSquare1,blueSquare1,29,word16,game99,2,1
stripedCircle1,blueSquare2,redSquare2,spottedCircle2,spottedCircle2,spottedCircle2,30,word15,game99,1,2
spottedCircle2,spottedCircle1,blueSquare1,stripedCircle2,stripedCircle2,stripedCircle2,31,word7,game99,2,1
blueSquare1,spottedCircle1,spottedCircle2,redSquare1,redSquare1,redSquare1,32,word6,game99,1,2
stripedCircle1,blueSquare2,stripedCircle2,spottedCircle2,spottedCircle2,spottedCircle2,33,word15,game99,2,1
spottedCircle1,blueSquare1,spottedCircle2,redSquare2,redSquare2,redSquare2,34,word6,game99,1,2
spottedCircle2,blueSquare1,spottedCircle1,redSquare1,redSquare1,redSquare1,35,word6,game99,2,1
spottedCircle1,blueSquare1,redSquare2,stripedCircle2,stripedCircle2,stripedCircle2,36,word7,game99,1,2
stripedCircle1,redSquare2,redSquare1,blueSquare2,blueSquare2,blueSquare2,37,word16,game99,2,1
redSquare1,spottedCircle1,redSquare2,blueSquare1,blueSquare1,blueSquare1,38,word16,game99,1,2
redSquare2,spottedCircle2,blueSquare2,stripedCircle1,stripedCircle1,stripedCircle1,39,word7,game99,2,1
redSquare1,blueSquare1,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle1,40,word15,game99,1,2
stripedCircle2,blueSquare1,blueSquare2,redSquare2,redSquare2,redSquare2,41,word6,game99,2,1
spottedCircle1,redSquare1,redSquare2,blueSquare1,blueSquare1,blueSquare1,42,word16,game99,1,2
stripedCircle1,redSquare2,redSquare1,blueSquare2,blueSquare2,blueSquare2,43,word16,game99,2,1
blueSquare2,spottedCircle2,redSquare2,stripedCircle2,stripedCircle2,stripedCircle2,44,word7,game99,1,2
blueSquare2,spottedCircle2,stripedCircle1,redSquare1,redSquare1,redSquare1,45,word6,game99,2,1
stripedCircle1,blueSquare1,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,46,word15,game99,1,2
spottedCircle2,redSquare1,blueSquare2,stripedCircle1,stripedCircle1,stripedCircle1,47,word7,game99,2,1
blueSquare2,redSquare1,stripedCircle2,spottedCircle2,spottedCircle2,spottedCircle2,48,word15,game99,1,2
spottedCircle2,redSquare1,spottedCircle1,stripedCircle1,stripedCircle1,stripedCircle1,49,word7,game99,2,1
stripedCircle1,stripedCircle2,blueSquare1,redSquare2,redSquare2,redSquare2,50,word6,game99,1,2
spottedCircle2,blueSquare1,stripedCircle2,redSquare1,redSquare1,redSquare1,51,word6,game99,2,1
redSquare1,stripedCircle1,stripedCircle2,blueSquare2,blueSquare2,blueSquare2,52,word16,game99,1,2
redSquare1,redSquare2,stripedCircle2,spottedCircle2,spottedCircle2,spottedCircle2,53,word15,game99,2,1
spottedCircle2,redSquare1,stripedCircle1,blueSquare1,blueSquare1,blueSquare1,54,word16,game99,1,2
stripedCircle2,blueSquare1,redSquare2,spottedCircle1,spottedCircle1,spottedCircle1,55,word15,game99,2,1
spottedCircle1,spottedCircle2,redSquare1,stripedCircle2,stripedCircle2,stripedCircle2,56,word7,game99,1,2
redSquare2,stripedCircle1,blueSquare1,spottedCircle1,spottedCircle1,spottedCircle1,57,word15,game99,2,1
redSquare2,blueSquare2,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,58,word15,game99,1,2
redSquare1,spottedCircle1,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle2,59,word7,game99,2,1
stripedCircle2,blueSquare1,stripedCircle1,redSquare1,redSquare1,redSquare1,60,word6,game99,1,2
spottedCircle2,blueSquare2,stripedCircle1,redSquare2,redSquare2,redSquare2,61,word6,game99,2,1
spottedCircle1,redSquare2,redSquare1,blueSquare2,blueSquare2,blueSquare2,62,word16,game99,1,2
stripedCircle2,redSquare1,redSquare2,blueSquare1,blueSquare1,blueSquare1,63,word16,game99,2,1
spottedCircle1,blueSquare2,redSquare2,stripedCircle1,stripedCircle1,stripedCircle1,64,word7,game99,1,2
spottedCircle1,stripedCircle1,blueSquare1,redSquare1,redSquare1,redSquare1,65,word6,game99,2,1
redSquare2,stripedCircle2,blueSquare1,spottedCircle1,spottedCircle1,spottedCircle1,66,word15,game99,1,2
redSquare2,spottedCircle1,redSquare1,blueSquare2,blueSquare2,blueSquare2,67,word16,game99,2,1
spottedCircle2,redSquare1,spottedCircle1,stripedCircle1,stripedCircle1,stripedCircle1,68,word7,game99,1,2
stripedCircle2,redSquare2,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,69,word15,game99,2,1
blueSquare1,stripedCircle1,stripedCircle2,redSquare2,redSquare2,redSquare2,70,word6,game99,1,2
redSquare1,spottedCircle1,blueSquare1,stripedCircle2,stripedCircle2,stripedCircle2,71,word7,game99,2,1
